26 73|56 75|19 85|8 63|52 42|16 86|9 89|77 32|47 20|26 62|58 86|65 95|95 21|18 67|22 76|51 41|
42 83|87 52|77 68|33 46|57 63|54 58|100 79|10 18|61 97|5 97|1 99|52 53|98 46|84 55|55 83|34 48|
58 17|13 48|23 32|67 54|43 37|46 42|0 21|90 82|39 3|95 3|99 1|48 47|2 54|16 45|45 17|66 52|
83 58|52 13|68 23|46 67|63 43|58 46|79 0|18 90|97 39|97 95|99 99|53 48|46 2|55 16|83 45|48 66|
83 42|52 87|68 77|46 33|63 57|58 54|79 100|18 10|97 61|97 5|99 1|53 52|46 98|55 84|83 55|48 34|
42 17|87 48|77 32|33 54|57 37|54 42|100 21|10 82|61 3|5 3|1 1|52 47|98 54|84 45|55 17|34 52|
17 58|48 13|32 23|54 67|37 43|42 46|21 0|82 90|3 39|3 95|1 99|47 48|54 2|45 16|17 45|52 66|
26 1|26 21|76 24|54 75|40 93|24 58|40 97|91 0|64 63|14 81|72 77|69 35|25 49|39 99|52 71|61 56|
74 1|74 21|24 24|46 75|60 93|76 58|60 97|9 0|36 63|86 81|28 77|31 35|75 49|61 99|48 71|39 56|
26 99|26 79|76 76|54 25|40 7|24 42|40 3|91 100|64 37|14 19|72 23|69 65|25 51|39 1|52 29|61 44|
1 26|21 26|24 76|75 54|93 40|58 24|97 40|0 91|63 64|81 14|77 72|35 69|49 25|99 39|71 52|56 61|
1 74|21 74|24 24|75 46|93 60|58 76|97 60|0 9|63 36|81 86|77 28|35 31|49 75|99 61|71 48|56 39|
74 99|74 79|24 76|46 25|60 7|76 42|60 3|9 100|36 37|86 19|28 23|31 65|75 51|61 1|48 29|39 44|
99 26|79 26|76 76|25 54|7 40|42 24|3 40|100 91|37 64|19 14|23 72|65 69|51 25|1 39|29 52|44 61|
40 82|33 84|67 14|64 57|70 75|33 46|67 77|66 82|12 20|63 25|1 97|98 77|42 61|29 43|36 59|66 78|
60 82|67 84|33 14|36 57|30 75|67 46|33 77|34 82|88 20|37 25|99 97|2 77|58 61|71 43|64 59|34 78|
40 18|33 16|67 86|64 43|70 25|33 54|67 23|66 18|12 80|63 75|1 3|98 23|42 39|29 57|36 41|66 22|
82 40|84 33|14 67|57 64|75 70|46 33|77 67|82 66|20 12|25 63|97 1|77 98|61 42|43 29|59 36|78 66|
82 60|84 67|14 33|57 36|75 30|46 67|77 33|82 34|20 88|25 37|97 99|77 2|61 58|43 71|59 64|78 34|
60 18|67 16|33 86|36 43|30 25|67 54|33 23|34 18|88 80|37 75|99 3|2 23|58 39|71 57|64 41|34 22|
18 40|16 33|86 67|43 64|25 70|54 33|23 67|18 66|80 12|75 63|3 1|23 98|39 42|57 29|41 36|22 66|
42 82|81 40|97 85|39 51|28 74|86 27|43 93|10 96|19 90|46 75|37 45|99 4|36 41|6 99|32 72|78 48|
58 82|19 40|3 85|61 51|72 74|14 27|57 93|90 96|81 90|54 75|63 45|1 4|64 41|94 99|68 72|22 48|
42 18|81 60|97 15|39 49|28 26|86 73|43 7|10 4|19 10|46 25|37 55|99 96|36 59|6 1|32 28|78 52|
82 42|40 81|85 97|51 39|74 28|27 86|93 43|96 10|90 19|75 46|45 37|4 99|41 36|99 6|72 32|48 78|
82 58|40 19|85 3|51 61|74 72|27 14|93 57|96 90|90 81|75 54|45 63|4 1|41 64|99 94|72 68|48 22|
58 18|19 60|3 15|61 49|72 26|14 73|57 7|90 4|81 10|54 25|63 55|1 96|64 59|94 1|68 28|22 52|
18 42|60 81|15 97|49 39|26 28|73 86|7 43|4 10|10 19|25 46|55 37|96 99|59 36|1 6|28 32|52 78|
47 0|38 3|77 41|84 89|84 45|22 4|76 75|67 56|9 3|51 46|2 49|95 46|26 40|8 47|15 4|46 47|
53 0|62 3|23 41|16 89|16 45|78 4|24 75|33 56|91 3|49 46|98 49|5 46|74 40|92 47|85 4|54 47|
47 100|38 97|77 59|84 11|84 55|22 96|76 25|67 44|9 97|51 54|2 51|95 54|26 60|8 53|15 96|46 53|
0 47|3 38|41 77|89 84|45 84|4 22|75 76|56 67|3 9|46 51|49 2|46 95|40 26|47 8|4 15|47 46|
0 53|3 62|41 23|89 16|45 16|4 78|75 24|56 33|3 91|46 49|49 98|46 5|40 74|47 92|4 85|47 54|
53 100|62 97|23 59|16 11|16 55|78 96|24 25|33 44|91 97|49 54|98 51|5 54|74 60|92 53|85 96|54 53|
100 47|97 38|59 77|11 84|55 84|96 22|25 76|44 67|97 9|54 51|51 2|54 95|60 26|53 8|96 15|53 46|
87 71|36 27|36 31|77 38|30 33|76 66|12 28|73 92|70 87|91 25|79 59|98 78|24 15|32 24|35 36|40 34|
13 71|64 27|64 31|23 38|70 33|24 66|88 28|27 92|30 87|9 25|21 59|2 78|76 15|68 24|65 36|60 34|
87 29|36 73|36 69|77 62|30 67|76 34|12 72|73 8|70 13|91 75|79 41|98 22|24 85|32 76|35 64|40 66|
71 87|27 36|31 36|38 77|33 30|66 76|28 12|92 73|87 70|25 91|59 79|78 98|15 24|24 32|36 35|34 40|
71 13|27 64|31 64|38 23|33 70|66 24|28 88|92 27|87 30|25 9|59 21|78 2|15 76|24 68|36 65|34 60|
13 29|64 73|64 69|23 62|70 67|24 34|88 72|27 8|30 13|9 75|21 41|2 22|76 85|68 76|65 64|60 66|
29 87|73 36|69 36|62 77|67 30|34 76|72 12|8 73|13 70|75 91|41 79|22 98|85 24|76 32|64 35|66 40|
91 72|95 8|31 31|15 30|98 1|76 9|89 56|69 49|50 95|88 44|75 27|71 13|56 74|49 98|68 53|69 14|
9 72|5 8|69 31|85 30|2 1|24 9|11 56|31 49|50 95|12 44|25 27|29 13|44 74|51 98|32 53|31 14|
91 28|95 92|31 69|15 70|98 99|76 91|89 44|69 51|50 5|88 56|75 73|71 87|56 26|49 2|68 47|69 86|
72 91|8 95|31 31|30 15|1 98|9 76|56 89|49 69|95 50|44 88|27 75|13 71|74 56|98 49|53 68|14 69|
72 9|8 5|31 69|30 85|1 2|9 24|56 11|49 31|95 50|44 12|27 25|13 29|74 44|98 51|53 32|14 31|
9 28|5 92|69 69|85 70|2 99|24 91|11 44|31 51|50 5|12 56|25 73|29 87|44 26|51 2|32 47|31 86|
28 91|92 95|69 31|70 15|99 98|91 76|44 89|51 69|5 50|56 88|73 75|87 71|26 56|2 49|47 68|86 69|
75 17|51 23|67 48|72 55|82 94|69 14|59 23|91 4|84 16|12 2|77 75|55 55|64 6|54 57|56 48|67 49|
25 17|49 23|33 48|28 55|18 94|31 14|41 23|9 4|16 16|88 2|23 75|45 55|36 6|46 57|44 48|33 49|
75 83|51 77|67 52|72 45|82 6|69 86|59 77|91 96|84 84|12 98|77 25|55 45|64 94|54 43|56 52|67 51|
17 75|23 51|48 67|55 72|94 82|14 69|23 59|4 91|16 84|2 12|75 77|55 55|6 64|57 54|48 56|49 67|
17 25|23 49|48 33|55 28|94 18|14 31|23 41|4 9|16 16|2 88|75 23|55 45|6 36|57 46|48 44|49 33|
25 83|49 77|33 52|28 45|18 6|31 86|41 77|9 96|16 84|88 98|23 25|45 45|36 94|46 43|44 52|33 51|
83 75|77 51|52 67|45 72|6 82|86 69|77 59|96 91|84 84|98 12|25 77|45 55|94 64|43 54|52 56|51 67|
73 67|55 13|39 94|5 28|2 81|21 56|54 15|28 25|37 55|41 50|90 69|70 67|56 71|14 66|24 26|35 58|
27 67|45 13|61 94|95 28|98 81|79 56|46 15|72 25|63 55|59 50|10 69|30 67|44 71|86 66|76 26|65 58|
73 33|55 87|39 6|5 72|2 19|21 44|54 85|28 75|37 45|41 50|90 31|70 33|56 29|14 34|24 74|35 42|
67 73|13 55|94 39|28 5|81 2|56 21|15 54|25 28|55 37|50 41|69 90|67 70|71 56|66 14|26 24|58 35|
67 27|13 45|94 61|28 95|81 98|56 79|15 46|25 72|55 63|50 59|69 10|67 30|71 44|66 86|26 76|58 65|
27 33|45 87|61 6|95 72|98 19|79 44|46 85|72 75|63 45|59 50|10 31|30 33|44 29|86 34|76 74|65 42|
33 73|87 55|6 39|72 5|19 2|44 21|85 54|75 28|45 37|50 41|31 90|33 70|29 56|34 14|74 24|42 35|
9 2|51 32|70 3|83 69|99 44|50 24|23 26|99 93|79 62|41 63|54 20|83 42|31 42|0 72|4 71|54 30|
91 2|49 32|30 3|17 69|1 44|50 24|77 26|1 93|21 62|59 63|46 20|17 42|69 42|100 72|96 71|46 30|
9 98|51 68|70 97|83 31|99 56|50 76|23 74|99 7|79 38|41 37|54 80|83 58|31 58|0 28|4 29|54 70|
2 9|32 51|3 70|69 83|44 99|24 50|26 23|93 99|62 79|63 41|20 54|42 83|42 31|72 0|71 4|30 54|
2 91|32 49|3 30|69 17|44 1|24 50|26 77|93 1|62 21|63 59|20 46|42 17|42 69|72 100|71 96|30 46|
91 98|49 68|30 97|17 31|1 56|50 76|77 74|1 7|21 38|59 37|46 80|17 58|69 58|100 28|96 29|46 70|
98 9|68 51|97 70|31 83|56 99|76 50|74 23|7 99|38 79|37 41|80 54|58 83|58 31|28 0|29 4|70 54|
3 6|70 69|71 57|84 41|65 45|3 79|98 98|35 32|42 39|82 28|85 78|96 15|26 71|67 44|70 59|81 69|
97 6|30 69|29 57|16 41|35 45|97 79|2 98|65 32|58 39|18 28|15 78|4 15|74 71|33 44|30 59|19 69|
3 94|70 31|71 43|84 59|65 55|3 21|98 2|35 68|42 61|82 72|85 22|96 85|26 29|67 56|70 41|81 31|
6 3|69 70|57 71|41 84|45 65|79 3|98 98|32 35|39 42|28 82|78 85|15 96|71 26|44 67|59 70|69 81|
6 97|69 30|57 29|41 16|45 35|79 97|98 2|32 65|39 58|28 18|78 15|15 4|71 74|44 33|59 30|69 19|
97 94|30 31|29 43|16 59|35 55|97 21|2 2|65 68|58 61|18 72|15 22|4 85|74 29|33 56|30 41|19 31|
94 3|31 70|43 71|59 84|55 65|21 3|2 98|68 35|61 42|72 82|22 85|85 96|29 26|56 67|41 70|31 81|
55 22|65 21|77 34|89 74|74 16|50 31|72 42|27 46|4 53|63 25|78 54|22 2|48 19|1 54|13 48|72 40|
45 22|35 21|23 34|11 74|26 16|50 31|28 42|73 46|96 53|37 25|22 54|78 2|52 19|99 54|87 48|28 40|
55 78|65 79|77 66|89 26|74 84|50 69|72 58|27 54|4 47|63 75|78 46|22 98|48 81|1 46|13 52|72 60|
22 55|21 65|34 77|74 89|16 74|31 50|42 72|46 27|53 4|25 63|54 78|2 22|19 48|54 1|48 13|40 72|
22 45|21 35|34 23|74 11|16 26|31 50|42 28|46 73|53 96|25 37|54 22|2 78|19 52|54 99|48 87|40 28|
45 78|35 79|23 66|11 26|26 84|50 69|28 58|73 54|96 47|37 75|22 46|78 98|52 81|99 46|87 52|28 60|
78 55|79 65|66 77|26 89|84 74|69 50|58 72|54 27|47 4|75 63|46 78|98 22|81 48|46 1|52 13|60 72|
23 11|4 0|30 13|9 80|17 58|16 7|66 94|10 36|96 24|16 35|56 80|8 33|8 85|6 31|14 32|36 50|
77 11|96 0|70 13|91 80|83 58|84 7|34 94|90 36|4 24|84 35|44 80|92 33|92 85|94 31|86 32|64 50|
23 89|4 100|30 87|9 20|17 42|16 93|66 6|10 64|96 76|16 65|56 20|8 67|8 15|6 69|14 68|36 50|
11 23|0 4|13 30|80 9|58 17|7 16|94 66|36 10|24 96|35 16|80 56|33 8|85 8|31 6|32 14|50 36|
11 77|0 96|13 70|80 91|58 83|7 84|94 34|36 90|24 4|35 84|80 44|33 92|85 92|31 94|32 86|50 64|
77 89|96 100|70 87|91 20|83 42|84 93|34 6|90 64|4 76|84 65|44 20|92 67|92 15|94 69|86 68|64 50|
89 23|100 4|87 30|20 9|42 17|93 16|6 66|64 10|76 96|65 16|20 56|67 8|15 8|69 6|68 14|50 36|
60 88|51 64|68 38|78 19|85 77|61 92|18 10|6 98|26 70|15 4|17 83|45 29|51 56|53 59|68 36|69 41|
40 88|49 64|32 38|22 19|15 77|39 92|82 10|94 98|74 70|85 4|83 83|55 29|49 56|47 59|32 36|31 41|
60 12|51 36|68 62|78 81|85 23|61 8|18 90|6 2|26 30|15 96|17 17|45 71|51 44|53 41|68 64|69 59|
88 60|64 51|38 68|19 78|77 85|92 61|10 18|98 6|70 26|4 15|83 17|29 45|56 51|59 53|36 68|41 69|
88 40|64 49|38 32|19 22|77 15|92 39|10 82|98 94|70 74|4 85|83 83|29 55|56 49|59 47|36 32|41 31|
40 12|49 36|32 62|22 81|15 23|39 8|82 90|94 2|74 30|85 96|83 17|55 71|49 44|47 41|32 64|31 59|
12 60|36 51|62 68|81 78|23 85|8 61|90 18|2 6|30 26|96 15|17 17|71 45|44 51|41 53|64 68|59 69|
71 29|59 56|23 51|9 69|30 19|17 95|33 54|94 3|34 29|25 61|85 12|35 30|94 85|18 91|25 48|32 53|
29 29|41 56|77 51|91 69|70 19|83 95|67 54|6 3|66 29|75 61|15 12|65 30|6 85|82 91|75 48|68 53|
71 71|59 44|23 49|9 31|30 81|17 5|33 46|94 97|34 71|25 39|85 88|35 70|94 15|18 9|25 52|32 47|
29 71|56 59|51 23|69 9|19 30|95 17|54 33|3 94|29 34|61 25|12 85|30 35|85 94|91 18|48 25|53 32|
29 29|56 41|51 77|69 91|19 70|95 83|54 67|3 6|29 66|61 75|12 15|30 65|85 6|91 82|48 75|53 68|
29 71|41 44|77 49|91 31|70 81|83 5|67 46|6 97|66 71|75 39|15 88|65 70|6 15|82 9|75 52|68 47|
71 71|44 59|49 23|31 9|81 30|5 17|46 33|97 94|71 34|39 25|88 85|70 35|15 94|9 18|52 25|47 32|
23 30|28 73|78 36|5 84|62 69|11 28|32 35|74 1|85 85|59 69|96 31|73 3|72 28|18 30|29 35|75 37|
77 30|72 73|22 36|95 84|38 69|89 28|68 35|26 1|15 85|41 69|4 31|27 3|28 28|82 30|71 35|25 37|
23 70|28 27|78 64|5 16|62 31|11 72|32 65|74 99|85 15|59 31|96 69|73 97|72 72|18 70|29 65|75 63|
30 23|73 28|36 78|84 5|69 62|28 11|35 32|1 74|85 85|69 59|31 96|3 73|28 72|30 18|35 29|37 75|
30 77|73 72|36 22|84 95|69 38|28 89|35 68|1 26|85 15|69 41|31 4|3 27|28 28|30 82|35 71|37 25|
77 70|72 27|22 64|95 16|38 31|89 72|68 65|26 99|15 15|41 31|4 69|27 97|28 72|82 70|71 65|25 63|
70 23|27 28|64 78|16 5|31 62|72 11|65 32|99 74|15 85|31 59|69 96|97 73|72 72|70 18|65 29|63 75|
28 57|57 4|1 32|35 53|78 49|43 32|31 36|99 31|55 17|73 77|83 41|71 72|3 93|28 33|42 28|54 14|
72 57|43 4|99 32|65 53|22 49|57 32|69 36|1 31|45 17|27 77|17 41|29 72|97 93|72 33|58 28|46 14|
28 43|57 96|1 68|35 47|78 51|43 68|31 64|99 69|55 83|73 23|83 59|71 28|3 7|28 67|42 72|54 86|
57 28|4 57|32 1|53 35|49 78|32 43|36 31|31 99|17 55|77 73|41 83|72 71|93 3|33 28|28 42|14 54|
57 72|4 43|32 99|53 65|49 22|32 57|36 69|31 1|17 45|77 27|41 17|72 29|93 97|33 72|28 58|14 46|
72 43|43 96|99 68|65 47|22 51|57 68|69 64|1 69|45 83|27 23|17 59|29 28|97 7|72 67|58 72|46 86|
43 28|96 57|68 1|47 35|51 78|68 43|64 31|69 99|83 55|23 73|59 83|28 71|7 3|67 28|72 42|86 54|
66 21|45 59|68 8|85 74|86 3|48 60|15 89|72 17|91 71|72 84|96 85|58 57|0 95|2 94|70 86|76 14|
34 21|55 59|32 8|15 74|14 3|52 60|85 89|28 17|9 71|28 84|4 85|42 57|100 95|98 94|30 86|24 14|
66 79|45 41|68 92|85 26|86 97|48 40|15 11|72 83|91 29|72 16|96 15|58 43|0 5|2 6|70 14|76 86|
21 66|59 45|8 68|74 85|3 86|60 48|89 15|17 72|71 91|84 72|85 96|57 58|95 0|94 2|86 70|14 76|
21 34|59 55|8 32|74 15|3 14|60 52|89 85|17 28|71 9|84 28|85 4|57 42|95 100|94 98|86 30|14 24|
34 79|55 41|32 92|15 26|14 97|52 40|85 11|28 83|9 29|28 16|4 15|42 43|100 5|98 6|30 14|24 86|
79 66|41 45|92 68|26 85|97 86|40 48|11 15|83 72|29 91|16 72|15 96|43 58|5 0|6 2|14 70|86 76|
71 41|20 44|65 56|98 77|10 15|95 39|18 47|7 46|85 74|74 56|84 40|35 66|19 35|0 78|34 63|94 76|
29 41|80 44|35 56|2 77|90 15|5 39|82 47|93 46|15 74|26 56|16 40|65 66|81 35|100 78|66 63|6 76|
71 59|20 56|65 44|98 23|10 85|95 61|18 53|7 54|85 26|74 44|84 60|35 34|19 65|0 22|34 37|94 24|
41 71|44 20|56 65|77 98|15 10|39 95|47 18|46 7|74 85|56 74|40 84|66 35|35 19|78 0|63 34|76 94|
41 29|44 80|56 35|77 2|15 90|39 5|47 82|46 93|74 15|56 26|40 16|66 65|35 81|78 100|63 66|76 6|
29 59|80 56|35 44|2 23|90 85|5 61|82 53|93 54|15 26|26 44|16 60|65 34|81 65|100 22|66 37|6 24|
59 71|56 20|44 65|23 98|85 10|61 95|53 18|54 7|26 85|44 74|60 84|34 35|65 19|22 0|37 34|24 94|
16 17|52 52|49 77|13 81|65 43|0 59|84 92|74 85|17 18|17 97|41 73|2 58|99 4|3 56|14 84|62 76|
84 17|48 52|51 77|87 81|35 43|100 59|16 92|26 85|83 18|83 97|59 73|98 58|1 4|97 56|86 84|38 76|
16 83|52 48|49 23|13 19|65 57|0 41|84 8|74 15|17 82|17 3|41 27|2 42|99 96|3 44|14 16|62 24|
17 16|52 52|77 49|81 13|43 65|59 0|92 84|85 74|18 17|97 17|73 41|58 2|4 99|56 3|84 14|76 62|
17 84|52 48|77 51|81 87|43 35|59 100|92 16|85 26|18 83|97 83|73 59|58 98|4 1|56 97|84 86|76 38|
84 83|48 48|51 23|87 19|35 57|100 41|16 8|26 15|83 82|83 3|59 27|98 42|1 96|97 44|86 16|38 24|
83 16|48 52|23 49|19 13|57 65|41 0|8 84|15 74|82 17|3 17|27 41|42 2|96 99|44 3|16 14|24 62|
59 60|1 85|58 23|61 41|20 24|55 41|74 62|38 67|23 27|79 85|58 75|83 96|90 10|26 31|64 58|80 88|
41 60|99 85|42 23|39 41|80 24|45 41|26 62|62 67|77 27|21 85|42 75|17 96|10 10|74 31|36 58|20 88|
59 40|1 15|58 77|61 59|20 76|55 59|74 38|38 33|23 73|79 15|58 25|83 4|90 90|26 69|64 42|80 12|
60 59|85 1|23 58|41 61|24 20|41 55|62 74|67 38|27 23|85 79|75 58|96 83|10 90|31 26|58 64|88 80|
60 41|85 99|23 42|41 39|24 80|41 45|62 26|67 62|27 77|85 21|75 42|96 17|10 10|31 74|58 36|88 20|
41 40|99 15|42 77|39 59|80 76|45 59|26 38|62 33|77 73|21 15|42 25|17 4|10 90|74 69|36 42|20 12|
40 59|15 1|77 58|59 61|76 20|59 55|38 74|33 38|73 23|15 79|25 58|4 83|90 90|69 26|42 64|12 80|
77 17|77 54|68 50|42 36|32 87|89 64|29 5|18 91|71 22|50 90|37 87|52 95|96 64|17 0|73 21|92 63|
23 17|23 54|32 50|58 36|68 87|11 64|71 5|82 91|29 22|50 90|63 87|48 95|4 64|83 0|27 21|8 63|
77 83|77 46|68 50|42 64|32 13|89 36|29 95|18 9|71 78|50 10|37 13|52 5|96 36|17 100|73 79|92 37|
17 77|54 77|50 68|36 42|87 32|64 89|5 29|91 18|22 71|90 50|87 37|95 52|64 96|0 17|21 73|63 92|
17 23|54 23|50 32|36 58|87 68|64 11|5 71|91 82|22 29|90 50|87 63|95 48|64 4|0 83|21 27|63 8|
23 83|23 46|32 50|58 64|68 13|11 36|71 95|82 9|29 78|50 10|63 13|48 5|4 36|83 100|27 79|8 37|
83 77|46 77|50 68|64 42|13 32|36 89|95 29|9 18|78 71|10 50|13 37|5 52|36 96|100 17|79 73|37 92|
59 21|36 85|34 94|19 24|86 0|23 50|7 60|27 41|38 41|96 73|21 50|14 57|50 68|11 58|21 34|35 87|
41 21|64 85|66 94|81 24|14 0|77 50|93 60|73 41|62 41|4 73|79 50|86 57|50 68|89 58|79 34|65 87|
59 79|36 15|34 6|19 76|86 100|23 50|7 40|27 59|38 59|96 27|21 50|14 43|50 32|11 42|21 66|35 13|
21 59|85 36|94 34|24 19|0 86|50 23|60 7|41 27|41 38|73 96|50 21|57 14|68 50|58 11|34 21|87 35|
21 41|85 64|94 66|24 81|0 14|50 77|60 93|41 73|41 62|73 4|50 79|57 86|68 50|58 89|34 79|87 65|
41 79|64 15|66 6|81 76|14 100|77 50|93 40|73 59|62 59|4 27|79 50|86 43|50 32|89 42|79 66|65 13|
79 59|15 36|6 34|76 19|100 86|50 23|40 7|59 27|59 38|27 96|50 21|43 14|32 50|42 11|66 21|13 35|
24 77|92 17|37 60|8 77|50 40|57 84|37 35|75 36|17 87|72 40|54 73|33 12|42 51|12 76|20 76|36 38|
76 77|8 17|63 60|92 77|50 40|43 84|63 35|25 36|83 87|28 40|46 73|67 12|58 51|88 76|80 76|64 38|
24 23|92 83|37 40|8 23|50 60|57 16|37 65|75 64|17 13|72 60|54 27|33 88|42 49|12 24|20 24|36 62|
77 24|17 92|60 37|77 8|40 50|84 57|35 37|36 75|87 17|40 72|73 54|12 33|51 42|76 12|76 20|38 36|
77 76|17 8|60 63|77 92|40 50|84 43|35 63|36 25|87 83|40 28|73 46|12 67|51 58|76 88|76 80|38 64|
76 23|8 83|63 40|92 23|50 60|43 16|63 65|25 64|83 13|28 60|46 27|67 88|58 49|88 24|80 24|64 62|
23 24|83 92|40 37|23 8|60 50|16 57|65 37|64 75|13 17|60 72|27 54|88 33|49 42|24 12|24 20|62 36|
63 98|56 49|60 96|1 95|71 66|57 35|51 68|5 92|65 79|32 37|87 47|11 13|13 84|0 0|57 54|58 95|
37 98|44 49|40 96|99 95|29 66|43 35|49 68|95 92|35 79|68 37|13 47|89 13|87 84|100 0|43 54|42 95|
63 2|56 51|60 4|1 5|71 34|57 65|51 32|5 8|65 21|32 63|87 53|11 87|13 16|0 100|57 46|58 5|
98 63|49 56|96 60|95 1|66 71|35 57|68 51|92 5|79 65|37 32|47 87|13 11|84 13|0 0|54 57|95 58|
98 37|49 44|96 40|95 99|66 29|35 43|68 49|92 95|79 35|37 68|47 13|13 89|84 87|0 100|54 43|95 42|
37 2|44 51|40 4|99 5|29 34|43 65|49 32|95 8|35 21|68 63|13 53|89 87|87 16|100 100|43 46|42 5|
2 63|51 56|4 60|5 1|34 71|65 57|32 51|8 5|21 65|63 32|53 87|87 11|16 13|100 0|46 57|5 58|
1 49|36 63|55 38|84 18|8 73|31 17|44 49|14 62|19 41|11 45|78 75|61 35|64 68|0 80|4 48|41 50|
99 49|64 63|45 38|16 18|92 73|69 17|56 49|86 62|81 41|89 45|22 75|39 35|36 68|100 80|96 48|59 50|
1 51|36 37|55 62|84 82|8 27|31 83|44 51|14 38|19 59|11 55|78 25|61 65|64 32|0 20|4 52|41 50|
49 1|63 36|38 55|18 84|73 8|17 31|49 44|62 14|41 19|45 11|75 78|35 61|68 64|80 0|48 4|50 41|
49 99|63 64|38 45|18 16|73 92|17 69|49 56|62 86|41 81|45 89|75 22|35 39|68 36|80 100|48 96|50 59|
99 51|64 37|45 62|16 82|92 27|69 83|56 51|86 38|81 59|89 55|22 25|39 65|36 32|100 20|96 52|59 50|
51 1|37 36|62 55|82 84|27 8|83 31|51 44|38 14|59 19|55 11|25 78|65 61|32 64|20 0|52 4|50 41|
27 30|45 75|16 4|17 17|78 64|47 90|93 28|79 73|26 32|82 49|13 19|21 14|86 80|14 19|19 12|45 71|
73 30|55 75|84 4|83 17|22 64|53 90|7 28|21 73|74 32|18 49|87 19|79 14|14 80|86 19|81 12|55 71|
27 70|45 25|16 96|17 83|78 36|47 10|93 72|79 27|26 68|82 51|13 81|21 86|86 20|14 81|19 88|45 29|
30 27|75 45|4 16|17 17|64 78|90 47|28 93|73 79|32 26|49 82|19 13|14 21|80 86|19 14|12 19|71 45|
30 73|75 55|4 84|17 83|64 22|90 53|28 7|73 21|32 74|49 18|19 87|14 79|80 14|19 86|12 81|71 55|
73 70|55 25|84 96|83 83|22 36|53 10|7 72|21 27|74 68|18 51|87 81|79 86|14 20|86 81|81 88|55 29|
70 27|25 45|96 16|83 17|36 78|10 47|72 93|27 79|68 26|51 82|81 13|86 21|20 86|81 14|88 19|29 45|
82 99|71 60|86 4|41 35|34 28|27 59|74 19|71 45|62 44|6 89|63 30|57 48|69 22|0 0|58 36|58 46|
18 99|29 60|14 4|59 35|66 28|73 59|26 19|29 45|38 44|94 89|37 30|43 48|31 22|100 0|42 36|42 46|
82 1|71 40|86 96|41 65|34 72|27 41|74 81|71 55|62 56|6 11|63 70|57 52|69 78|0 100|58 64|58 54|
99 82|60 71|4 86|35 41|28 34|59 27|19 74|45 71|44 62|89 6|30 63|48 57|22 69|0 0|36 58|46 58|
99 18|60 29|4 14|35 59|28 66|59 73|19 26|45 29|44 38|89 94|30 37|48 43|22 31|0 100|36 42|46 42|
18 1|29 40|14 96|59 65|66 72|73 41|26 81|29 55|38 56|94 11|37 70|43 52|31 78|100 100|42 64|42 54|
1 82|40 71|96 86|65 41|72 34|41 27|81 74|55 71|56 62|11 6|70 63|52 57|78 69|100 0|64 58|54 58|
47 38|48 17|50 56|49 42|39 86|25 74|98 77|55 28|46 60|90 75|42 97|55 68|48 43|30 77|33 79|45 60|
53 38|52 17|50 56|51 42|61 86|75 74|2 77|45 28|54 60|10 75|58 97|45 68|52 43|70 77|67 79|55 60|
47 62|48 83|50 44|49 58|39 14|25 26|98 23|55 72|46 40|90 25|42 3|55 32|48 57|30 23|33 21|45 40|
38 47|17 48|56 50|42 49|86 39|74 25|77 98|28 55|60 46|75 90|97 42|68 55|43 48|77 30|79 33|60 45|
38 53|17 52|56 50|42 51|86 61|74 75|77 2|28 45|60 54|75 10|97 58|68 45|43 52|77 70|79 67|60 55|
53 62|52 83|50 44|51 58|61 14|75 26|2 23|45 72|54 40|10 25|58 3|45 32|52 57|70 23|67 21|55 40|
62 47|83 48|44 50|58 49|14 39|26 25|23 98|72 55|40 46|25 90|3 42|32 55|57 48|23 30|21 33|40 45|
97 94|32 40|23 19|37 59|33 66|10 9|84 46|34 40|84 74|39 14|25 89|36 5|87 5|0 0|36 3|83 66|
3 94|68 40|77 19|63 59|67 66|90 9|16 46|66 40|16 74|61 14|75 89|64 5|13 5|100 0|64 3|17 66|
97 6|32 60|23 81|37 41|33 34|10 91|84 54|34 60|84 26|39 86|25 11|36 95|87 95|0 100|36 97|83 34|
94 97|40 32|19 23|59 37|66 33|9 10|46 84|40 34|74 84|14 39|89 25|5 36|5 87|0 0|3 36|66 83|
94 3|40 68|19 77|59 63|66 67|9 90|46 16|40 66|74 16|14 61|89 75|5 64|5 13|0 100|3 64|66 17|
3 6|68 60|77 81|63 41|67 34|90 91|16 54|66 60|16 26|61 86|75 11|64 95|13 95|100 100|64 97|17 34|
6 97|60 32|81 23|41 37|34 33|91 10|54 84|60 34|26 84|86 39|11 25|95 36|95 87|100 0|97 36|34 83|
38 21|35 45|33 51|99 95|63 45|83 18|78 2|23 61|77 10|94 14|69 58|36 10|67 50|57 36|74 64|77 8|
62 21|65 45|67 51|1 95|37 45|17 18|22 2|77 61|23 10|6 14|31 58|64 10|33 50|43 36|26 64|23 8|
38 79|35 55|33 49|99 5|63 55|83 82|78 98|23 39|77 90|94 86|69 42|36 90|67 50|57 64|74 36|77 92|
21 38|45 35|51 33|95 99|45 63|18 83|2 78|61 23|10 77|14 94|58 69|10 36|50 67|36 57|64 74|8 77|
21 62|45 65|51 67|95 1|45 37|18 17|2 22|61 77|10 23|14 6|58 31|10 64|50 33|36 43|64 26|8 23|
